"
GLOBAL ADMIN COST CONSOLIDATION",Countries / FIN POC /HR POC,SREEJITH/RAM (INDIA),,,SREEJITH/WISSAM (UAE),,,"PRIME
SREEJITH/WISSAM (UAE)",,,BHARATH/WISSAM(OMAN),,,ANKITA/WISSAM(BAHRN),,,MEGHA/DEYA(KSA),,,SALAM/FATHY(EGYPT),,,BHARAT/FATHY(JORDAN),,,BURGA/YESIM(TURKEY),,,BURGA/YESIM(KZK),,,BURGA/NATALIA(POLAND),,,Status
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asset Type,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,
,Furniture ,,,"53,059","1,710","2,00,656","47,407",,"10,655",,,"18,647","7,074",,"3,852",554,,,,,,,,"10,151","6,813","17,815","5,619","8,503",,,"2,217",,,,
,"Stationery - Total Cost (Pen, Pencil, Paper, Marker, Cup, Tshirts, Dairy, Mugs, Courier)",95,"2,145","4,220","4,213","3,097","6,103",,,,,,,,,,,,,,,,,,,,,,,,274,,,,
,"Restroom Supplies - Tissues, Sanitizers, Handwash, Room sprays, Janitor supports, Waste disposal covers etc",,,,,,,,,,,,,,,,,,,,,,,,,"2,244","3,402","3,067",,,,,,,
,Room Freshner's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedestal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cupboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,
,"Coffee Machine, Supplies like Milk, Water, Cofee, TEA Powder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Extinguishers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Air Conditioner,,,,,,,,,,,,396,,,,,,,,,,,,761,,,,,,,,,,
,Sign Board,,,,,,,,,,,,"1,076",,,,,,,,,,,,,,,,,,,,,,
,Water Cooler,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,
,Counting machine,,,,,,,,,,,,,,,,,,,,,,,,353,,,,,,,,,,
,,"1,21,792","3,03,312","4,04,936","4,44,864","8,35,244","11,15,572",0,"31,85,194","4,52,997",0,"19,106","11,898","3,048","5,045",978,0,0,0,0,0,0,0,"14,741","19,073","3,62,664","34,449","26,866",0,0,"36,077","31,349","12,128","14,121",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606800000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
